Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.14,0.08,19.29,SELL,03-12-2024 23:38,156.09,Close Long,0.646632,0xdeab65c7b20aa880410e0418569fa201a6006eaf7e1ecdc2c4d93e475f8cb1f8,52350600477,TRUE,0.006751,5.60E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.09,17.53,4226.31,SELL,03-12-2024 23:38,156.01,Close Long,140.816737,0xdeab65c7b20aa880410e0418569fa201a6006eaf7e1ecdc2c4d93e475f8cb1f8,52350600477,TRUE,1.479207,6.61E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.06,17.53,4225.78,SELL,03-12-2024 23:38,138.48,Close Long,140.290837,0xdeab65c7b20aa880410e0418569fa201a6006eaf7e1ecdc2c4d93e475f8cb1f8,52350600477,TRUE,1.479023,9.45E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.05,3.49,841.26,SELL,03-12-2024 23:38,120.95,Close Long,27.895221,0xdeab65c7b20aa880410e0418569fa201a6006eaf7e1ecdc2c4d93e475f8cb1f8,52350600477,TRUE,0.294442,2.30E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.04,9.83,2369.42,SELL,03-12-2024 23:38,117.46,Close Long,78.471907,0xdeab65c7b20aa880410e0418569fa201a6006eaf7e1ecdc2c4d93e475f8cb1f8,52350600477,TRUE,0.829298,6.29E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.04,4.1,988.26,SELL,03-12-2024 23:38,107.63,Close Long,32.72989,0xdeab65c7b20aa880410e0418569fa201a6006eaf7e1ecdc2c4d93e475f8cb1f8,52350600477,TRUE,0.345892,9.22E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.04,32.98,7949.5,SELL,03-12-2024 23:38,103.53,Close Long,263.276042,0xdeab65c7b20aa880410e0418569fa201a6006eaf7e1ecdc2c4d93e475f8cb1f8,52350600477,TRUE,2.782324,9.87E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.02,31.72,7645.15,SELL,03-12-2024 23:38,70.55,Close Long,252.583188,0xdeab65c7b20aa880410e0418569fa201a6006eaf7e1ecdc2c4d93e475f8cb1f8,52350600477,TRUE,2.675804,4.37E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,240.97,4.86,1171.11,SELL,03-12-2024 23:38,38.83,Close Long,38.456694,0xdeab65c7b20aa880410e0418569fa201a6006eaf7e1ecdc2c4d93e475f8cb1f8,52350600477,TRUE,0.409889,8.22E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,240.95,33.35,8035.68,SELL,03-12-2024 23:38,33.97,Close Long,263.228215,0xdeab65c7b20aa880410e0418569fa201a6006eaf7e1ecdc2c4d93e475f8cb1f8,52350600477,TRUE,2.812488,1.08E+15,1.73E+12
