Time	Open	High	Low	Close
2024.08.21 00:00:00	0.85369	0.85437	0.85085	0.85198
2024.08.22 00:00:00	0.85199	0.85202	0.84779	0.84873
2024.08.23 00:00:00	0.84875	0.84919	0.8452	0.84679
2024.08.25 00:00:00	0.84582	0.84718	0.84557	0.84672
2024.08.26 00:00:00	0.84675	0.84746	0.84496	0.84627
2024.08.27 00:00:00	0.84628	0.8467	0.84297	0.84316
2024.08.28 00:00:00	0.84315	0.84339	0.84096	0.84314
2024.08.29 00:00:00	0.84312	0.84323	0.84019	0.84155
2024.08.30 00:00:00	0.84153	0.84273	0.83996	0.84149
2024.09.01 00:00:00	0.84075	0.84136	0.84028	0.84111
2024.09.02 00:00:00	0.84114	0.84319	0.84112	0.84216
2024.09.03 00:00:00	0.84216	0.84339	0.84054	0.84249
2024.09.04 00:00:00	0.8425	0.84346	0.84155	0.84291
2024.09.05 00:00:00	0.84291	0.84372	0.84175	0.84321
2024.09.06 00:00:00	0.84322	0.84461	0.84109	0.84417
2024.09.08 00:00:00	0.84325	0.84425	0.84315	0.84422
2024.09.09 00:00:00	0.84421	0.84465	0.84324	0.84422
2024.09.10 00:00:00	0.84421	0.8447	0.84217	0.84247
2024.09.11 00:00:00	0.84247	0.84627	0.84242	0.8444
2024.09.12 00:00:00	0.8444	0.84547	0.84327	0.84355
2024.09.13 00:00:00	0.84356	0.84523	0.84266	0.84378
2024.09.15 00:00:00	0.84347	0.84416	0.84334	0.84403
2024.09.16 00:00:00	0.84402	0.84428	0.84194	0.84241
2024.09.17 00:00:00	0.84242	0.84535	0.84176	0.84462
2024.09.18 00:00:00	0.84462	0.84526	0.84035	0.84171
2024.09.19 00:00:00	0.8417	0.84223	0.83912	0.84017
2024.09.20 00:00:00	0.84017	0.84059	0.83778	0.83785
2024.09.22 00:00:00	0.83748	0.83832	0.83728	0.83821
2024.09.23 00:00:00	0.83819	0.8386	0.83208	0.83228
2024.09.24 00:00:00	0.83228	0.83388	0.83166	0.8334
2024.09.25 00:00:00	0.83341	0.83712	0.83335	0.83587
2024.09.26 00:00:00	0.83589	0.83591	0.83262	0.83337
2024.09.27 00:00:00	0.83336	0.83491	0.83213	0.83472
2024.09.29 00:00:00	0.83417	0.83484	0.83396	0.83453
2024.09.30 00:00:00	0.83452	0.83594	0.8312	0.83243
2024.10.01 00:00:00	0.8324	0.83447	0.83103	0.83347
2024.10.02 00:00:00	0.83348	0.83375	0.83209	0.83277
2024.10.03 00:00:00	0.83278	0.84335	0.8323	0.84046
2024.10.04 00:00:00	0.84044	0.84056	0.83524	0.83618
2024.10.06 00:00:00	0.83549	0.83621	0.83493	0.83591
2024.10.07 00:00:00	0.8359	0.83989	0.83554	0.83866
2024.10.08 00:00:00	0.83864	0.8404	0.83733	0.83819
2024.10.09 00:00:00	0.83818	0.83878	0.83654	0.83732
2024.10.10 00:00:00	0.83733	0.83846	0.83538	0.83703
2024.10.11 00:00:00	0.83702	0.83825	0.83638	0.83684
2024.10.13 00:00:00	0.83588	0.83715	0.83563	0.83705
2024.10.14 00:00:00	0.83706	0.8373	0.8346	0.83477
2024.10.15 00:00:00	0.83479	0.83503	0.83247	0.83297
2024.10.16 00:00:00	0.83296	0.83794	0.83264	0.8358
2024.10.17 00:00:00	0.83581	0.83639	0.83175	0.832
2024.10.18 00:00:00	0.83202	0.83354	0.82945	0.83258
2024.10.20 00:00:00	0.83149	0.83271	0.83138	0.83261
2024.10.21 00:00:00	0.8326	0.83388	0.83239	0.83298
2024.10.22 00:00:00	0.83298	0.83459	0.83122	0.83164
2024.10.23 00:00:00	0.83165	0.83512	0.83028	0.83461
2024.10.24 00:00:00	0.83463	0.83482	0.83138	0.83434
2024.10.25 00:00:00	0.83435	0.83494	0.83258	0.83287
2024.10.27 00:00:00	0.83151	0.8332	0.83092	0.83313
2024.10.28 00:00:00	0.83312	0.83426	0.83228	0.83367
2024.10.29 00:00:00	0.83368	0.83398	0.82981	0.83151
2024.10.30 00:00:00	0.8315	0.83796	0.8313	0.83787
2024.10.31 00:00:00	0.83785	0.84471	0.83527	0.84384
2024.11.01 00:00:00	0.84386	0.84423	0.83686	0.83844
2024.11.03 00:00:00	0.83725	0.83944	0.83725	0.83924
2024.11.04 00:00:00	0.83937	0.84182	0.83841	0.83919
2024.11.05 00:00:00	0.83933	0.83971	0.83774	0.83813
2024.11.06 00:00:00	0.83826	0.83841	0.83137	0.83284
2024.11.07 00:00:00	0.83297	0.83393	0.83057	0.83131
2024.11.08 00:00:00	0.83144	0.83251	0.82916	0.82951
2024.11.10 00:00:00	0.8292	0.82951	0.82882	0.82923
2024.11.11 00:00:00	0.82941	0.83013	0.82594	0.82811
2024.11.12 00:00:00	0.82822	0.83343	0.82753	0.83331
2024.11.13 00:00:00	0.83344	0.83449	0.83069	0.83126
2024.11.14 00:00:00	0.8314	0.8323	0.83062	0.83107
2024.11.15 00:00:00	0.8312	0.83585	0.83118	0.83503
2024.11.17 00:00:00	0.83381	0.83502	0.83316	0.83469
2024.11.18 00:00:00	0.83487	0.83726	0.83394	0.83542
2024.11.19 00:00:00	0.83556	0.8375	0.83316	0.8354
2024.11.20 00:00:00	0.83553	0.83579	0.83125	0.83309
2024.11.21 00:00:00	0.83323	0.83404	0.83155	0.83169
2024.11.22 00:00:00	0.83182	0.83459	0.82675	0.83128
2024.11.24 00:00:00	0.83125	0.83339	0.83061	0.83195
2024.11.25 00:00:00	0.83208	0.83607	0.83088	0.83316
2024.11.26 00:00:00	0.83329	0.8364	0.833	0.8342
2024.11.27 00:00:00	0.83434	0.83549	0.8329	0.83295
2024.11.28 00:00:00	0.83308	0.83385	0.83143	0.83161
2024.11.29 00:00:00	0.83175	0.8331	0.83001	0.83041
2024.12.01 00:00:00	0.82914	0.83008	0.82902	0.82994
